"cluster","Proximal_tubule","Loop_of_Henle_TAL","Principal_CD","Intercalated","Endothelial","Stroma_mural","T_cell","NK_cell","B_cell","Plasma","Myeloid","DC","pDC","Mast","Neutrophil","Proliferating","Tumor_RCC","argmax","assigned","mean_mtrnr2l_frac","frac_lowq","n_cells"
"1",-0.026,0.026,-0.002,0.047,-0.007,-0.328,0.533,0.282,-0.018,0.117,-0.009,0.001,0.079,-0.034,0.011,0.111,-0.017,"T_cell","T_cell",0.002,0,9328
"2",-0.066,-0.017,0.098,-0.004,-0.185,-0.244,0.352,-0.159,0.007,-0.021,-0.369,-0.004,-0.036,-0.053,-0.104,-0.02,-0.082,"T_cell","T_cell",0.002,0,6317
"3",0.214,0.026,-0.003,0.036,0.113,-0.345,0.002,-0.015,-0.036,-0.076,1.203,0.043,0.102,-0.025,0.457,0.035,-0.068,"Myeloid","Myeloid",0.002,0,4767
"4",0.023,-0.033,-0.075,-0.084,-0.093,-0.367,-0.082,-0.114,-0.149,-0.162,0.574,-0.099,-0.09,-0.1,-0.029,-0.148,-0.112,"Myeloid","Myeloid",0.002,0,4632
"5",0.047,0.131,0.088,0.288,-0.068,-0.319,-0.42,-0.106,0.057,-0.009,-0.286,0.243,0.227,0.161,0.162,0.072,0.011,"Intercalated","Intercalated",0.005,0,3979
"6",-0.056,-0.021,-0.043,-0.027,-0.085,0.947,-0.1,-0.116,-0.099,0.039,-0.091,-0.052,-0.057,0.031,-0.082,-0.037,-0.071,"Stroma_mural","Stroma_mural",0.001,0,3949
"7",-0.096,-0.072,-0.052,-0.095,-0.197,1.065,-0.507,-0.264,-0.13,-0.184,-0.321,-0.114,-0.154,-0.026,-0.173,-0.127,-0.156,"Stroma_mural","Stroma_mural",0.001,0.036,3034
"8",-0.175,-0.059,-0.084,-0.109,-0.243,-0.435,-0.057,-0.077,-0.185,-0.169,-0.383,-0.128,-0.121,-0.133,-0.173,-0.149,-0.113,"T_cell","T_cell",0.003,0,2913
"9",-0.132,-0.072,-0.074,-0.129,-0.21,0.239,-0.348,-0.256,-0.18,-0.211,-0.417,-0.144,-0.173,-0.122,-0.198,-0.232,-0.144,"Stroma_mural","Stroma_mural",0.002,0,2827
"10",-0.121,-0.023,-0.051,-0.057,1.585,0.6,-0.412,-0.206,-0.151,-0.028,-0.36,-0.029,0.059,0.127,-0.119,0.019,-0.122,"Endothelial","Endothelial",0.001,0.002,2643
"11",0.24,0.001,0.051,0.081,-0.058,-0.279,0.136,0.084,-0.022,-0.012,0.184,0.114,0.009,-0.031,0.456,0.606,1.749,"Tumor_RCC","Tumor_RCC",0.004,0,2503
"12",0.013,-0.032,0.026,0.017,-0.124,0.523,0.104,-0.116,0.004,-0.025,-0.173,-0.061,-0.052,0.011,-0.11,-0.019,-0.085,"Stroma_mural","Stroma_mural",0.002,0.006,2335
"13",-0.045,0.014,-0.033,-0.037,-0.087,-0.151,0.073,1.977,-0.081,-0.002,-0.269,-0.029,0.147,-0.044,-0.09,-0.079,-0.109,"NK_cell","NK_cell",0.002,0,1776
"14",0.253,-0.041,-0.036,-0.034,0.08,0.344,-0.242,-0.231,-0.023,-0.071,0.724,0.122,-0.046,0.01,-0.099,-0.078,-0.13,"Myeloid","Myeloid",0.002,0.001,1733
"15",0.012,-0.037,0.196,-0.065,0.237,0.106,-0.354,-0.234,0.828,1.598,-0.178,-0.024,-0.038,-0.004,-0.121,-0.046,-0.142,"Plasma","Plasma",0.002,0.001,1410
"16",0.018,-0.044,0.02,-0.02,-0.172,-0.151,-0.157,-0.22,2.188,0.004,-0.363,0.149,0.058,-0.057,-0.08,0.004,-0.07,"B_cell","B_cell",0.003,0,1019
"17",0.106,-0.084,-0.062,-0.106,-0.227,0.704,-0.63,-0.324,-0.156,-0.269,-0.4,-0.125,-0.173,0.009,-0.165,-0.223,-0.159,"Stroma_mural","Stroma_mural",0.001,0.293,707
"18",-0.062,-0.049,-0.011,-0.055,-0.216,-0.114,-0.356,-0.225,-0.115,-0.154,-0.272,-0.082,-0.111,2.554,-0.143,-0.157,-0.171,"Mast","Mast",0.002,0,443
"19",-0.082,-0.04,-0.009,-0.111,-0.048,-0.231,-0.048,-0.102,-0.072,-0.136,-0.379,2.208,-0.03,-0.053,-0.126,-0.076,-0.049,"DC","DC",0.002,0,189
